iter	Passed	Remaining
954	20130	948
955	20151	927
956	20170	906
957	20189	885
958	20209	863
959	20229	842
960	20248	821
961	20268	800
962	20287	779
963	20306	758
964	20326	737
965	20345	716
966	20365	694
967	20384	673
968	20403	652
969	20422	631
970	20442	610
971	20461	589
972	20483	568
973	20502	547
974	20522	526
975	20542	505
976	20561	484
977	20582	463
978	20601	441
979	20621	420
980	20641	399
981	20660	378
982	20681	357
983	20700	336
984	20720	315
985	20739	294
986	20759	273
987	20780	252
988	20798	231
989	20817	210
990	20836	189
991	20856	168
992	20875	147
993	20894	126
994	20913	105
995	20933	84
996	20952	63
997	20972	42
998	20992	21
999	21013	0
